resultId,raceId,driverId,constructorId_x,grid,positionText,positionOrder,statusId,year,round,circuitId,driverRef,nationality_x,constructorRef,status,qualifyId,quali_best_s,no_quali_time,quali_best_s_filled,accident_flag,driverErrorRate,driverScore,pos_clean,momentum_3,momentum_5,momentum_10,constructor_avg_pos,constructor_momentum,driver_circuit_avg,constructor_circuit_avg
20323,337,4,6,3,1,1,1,2010,1,3,alonso,Spanish,ferrari,Finished,3328.0,114.172,0,114.172,0,0.010752688172043012,82.04516247475676,1.0,-1.0,-1.0,-1.0,6.631578947368421,-1.0,9.333333333333334,7.3125
20324,337,13,6,2,2,2,1,2010,1,3,massa,Brazilian,ferrari,Finished,3327.0,114.24199999999999,0,114.24199999999999,0,0.025806451612903226,81.00549331285168,2.0,-2.0,-2.0,-2.0,6.631578947368421,-1.5,8.142857142857142,7.3125
20325,337,1,1,4,3,3,1,2010,1,3,hamilton,British,mclaren,Finished,3329.0,114.707,0,114.707,0,0.006269592476489028,91.44540254418168,3.0,-3.0,-3.0,-3.0,6.394736842105263,-3.0,3.2666666666666666,10.625
20326,337,20,9,1,4,4,1,2010,1,3,vettel,German,red_bull,Finished,3326.0,113.88300000000001,0,113.88300000000001,0,0.01556420233463035,86.17194570135746,4.0,-4.0,-4.0,-4.0,6.026315789473684,-4.0,7.083333333333333,7.1875
20327,337,3,131,5,5,5,1,2010,1,3,rosberg,German,mercedes,Finished,3330.0,114.682,0,114.682,0,0.0,83.02508456706057,5.0,-5.0,-5.0,-5.0,9.157894736842104,-5.0,4.166666666666667,4.3125
20328,337,30,131,7,6,6,1,2010,1,3,michael_schumacher,German,mercedes,Finished,3332.0,115.10499999999999,0,115.10499999999999,0,0.017241379310344827,86.75148381030735,6.0,-6.0,-6.0,-6.0,9.157894736842104,-5.5,8.0,4.3125
20329,337,18,1,8,7,7,1,2010,1,3,button,British,mclaren,Finished,3333.0,115.168,0,115.168,0,0.0,79.10644466898036,7.0,-7.0,-7.0,-7.0,6.394736842105263,-5.0,15.333333333333334,10.625
20330,337,17,9,6,8,8,1,2010,1,3,webber,Australian,red_bull,Finished,3331.0,114.318,0,114.318,0,0.025974025974025976,78.85605855245323,8.0,-8.0,-8.0,-8.0,6.026315789473684,-6.0,6.333333333333333,7.1875
20331,337,24,10,12,9,9,1,2010,1,3,liuzzi,Italian,force_india,Finished,3337.0,115.62299999999999,0,115.62299999999999,0,0.08108108108108109,62.22557399027988,9.0,-9.0,-9.0,-9.0,13.342105263157896,-9.0,9.0,9.9375
20332,337,22,3,11,10,10,1,2010,1,3,barrichello,Brazilian,williams,Finished,3336.0,115.33,0,115.33,0,0.0,77.37278960664021,10.0,-10.0,-10.0,-10.0,12.552631578947368,-10.0,10.0,13.5
20333,337,9,4,9,11,11,1,2010,1,3,kubica,Polish,renault,Finished,3334.0,114.963,0,114.963,0,0.0,76.52543534896476,11.0,-11.0,-11.0,-11.0,10.973684210526315,-11.0,13.5,11.571428571428571
20334,337,16,10,10,12,12,1,2010,1,3,sutil,German,force_india,Finished,3335.0,114.99600000000001,0,114.99600000000001,0,0.05263157894736842,65.99971719457014,12.0,-12.0,-12.0,-12.0,13.342105263157896,-10.5,15.666666666666666,9.9375
20335,337,153,5,18,13,13,1,2010,1,3,alguersuari,Spanish,toro_rosso,Finished,3343.0,117.071,0,117.071,0,0.02631578947368421,67.71591579775723,13.0,-13.0,-13.0,-13.0,13.710526315789474,-13.0,13.0,14.38888888888889
20336,337,807,3,13,14,14,11,2010,1,3,hulkenberg,German,williams,+1 Lap,3338.0,115.857,0,115.857,0,0.0326530612244898,73.05014313417675,14.0,-14.0,-14.0,-14.0,12.552631578947368,-12.0,13.153846153846153,13.5
20337,337,5,205,21,15,15,12,2010,1,3,kovalainen,Finnish,lotus_racing,+2 Laps,3346.0,120.313,0,120.313,0,0.016666666666666666,69.3600517129929,15.0,-15.0,-15.0,-15.0,18.13157894736842,-15.0,16.0,16.0
20338,337,67,5,15,16,16,10,2010,1,3,buemi,Swiss,toro_rosso,Electrical,3340.0,116.189,0,116.189,0,0.05263157894736842,66.5322912381736,16.0,-16.0,-16.0,-16.0,13.710526315789474,-14.5,16.0,14.38888888888889
20339,337,15,205,20,17,17,9,2010,1,3,trulli,Italian,lotus_racing,Hydraulics,3345.0,119.852,0,119.852,0,0.0,71.875,17.0,-17.0,-17.0,-17.0,18.13157894736842,-16.0,17.0,16.0
20340,337,37,15,14,R,18,9,2010,1,3,rosa,Spanish,sauber,Hydraulics,3339.0,116.237,0,116.237,0,0.05714285714285714,63.76707404744787,,,,,15.078947368421053,-18.0,19.0,15.1
20341,337,811,164,23,R,19,25,2010,1,3,bruno_senna,Brazilian,hrt,Overheating,3348.0,123.204,0,123.204,0,0.043478260869565216,62.81723391697817,,,,,18.94736842105263,-19.0,20.5,21.0
20342,337,10,166,19,R,20,6,2010,1,3,glock,German,virgin,Gearbox,3344.0,119.72800000000001,0,119.72800000000001,0,0.034482758620689655,64.07716122886403,,,,,19.05263157894737,-20.0,19.5,21.5
20343,337,808,4,17,R,21,22,2010,1,3,petrov,Russian,renault,Suspension,3342.0,116.167,0,116.167,0,0.06896551724137931,66.43782181307536,,,,,10.973684210526315,-16.0,18.5,11.571428571428571
20344,337,155,15,16,R,22,9,2010,1,3,kobayashi,Japanese,sauber,Hydraulics,3341.0,116.27000000000001,0,116.27000000000001,0,0.05405405405405406,67.45653727077875,,,,,15.078947368421053,-20.0,16.666666666666668,15.1
20345,337,810,166,22,R,23,9,2010,1,3,grassi,Brazilian,virgin,Hydraulics,3347.0,120.587,0,120.587,0,0.05263157894736842,52.98880685877591,,,,,19.05263157894737,-21.5,23.0,21.5
20346,337,812,164,24,R,24,3,2010,1,3,chandhok,Indian,hrt,Accident,3349.0,124.904,0,124.904,1,0.09090909090909091,56.067461949814884,,,,,18.94736842105263,-21.5,24.0,21.0
20347,338,18,1,4,1,1,1,2010,2,1,button,British,mclaren,Finished,3353.0,84.531,0,84.531,0,0.0,79.10644466898036,1.0,-4.0,-4.0,-4.0,6.394736842105263,-3.6666666666666665,6.428571428571429,7.928571428571429
20348,338,9,4,9,2,2,1,2010,2,1,kubica,Polish,renault,Finished,3358.0,85.122,0,85.122,0,0.0,76.52543534896476,2.0,-6.5,-6.5,-6.5,10.973684210526315,-11.333333333333334,9.5,11.0
20349,338,13,6,5,3,3,1,2010,2,1,massa,Brazilian,ferrari,Finished,3354.0,84.837,0,84.837,0,0.025806451612903226,81.00549331285168,3.0,-2.5,-2.5,-2.5,6.631578947368421,-2.0,8.25,6.607142857142857
20350,338,4,6,3,4,4,1,2010,2,1,alonso,Spanish,ferrari,Finished,3352.0,84.111,0,84.111,0,0.010752688172043012,82.04516247475676,4.0,-2.5,-2.5,-2.5,6.631578947368421,-2.5,8.666666666666666,6.607142857142857
20351,338,3,131,6,5,5,1,2010,2,1,rosberg,German,mercedes,Finished,3355.0,84.788,0,84.788,0,0.0,83.02508456706057,5.0,-5.0,-5.0,-5.0,9.157894736842104,-5.333333333333333,8.285714285714286,7.892857142857143
20352,338,1,1,11,6,6,1,2010,2,1,hamilton,British,mclaren,Finished,3360.0,85.04599999999999,0,85.04599999999999,0,0.006269592476489028,91.44540254418168,6.0,-4.5,-4.5,-4.5,6.394736842105263,-4.25,5.571428571428571,7.928571428571429
20353,338,24,10,13,7,7,1,2010,2,1,liuzzi,Italian,force_india,Finished,3362.0,85.743,0,85.743,0,0.08108108108108109,62.22557399027988,7.0,-8.0,-8.0,-8.0,13.342105263157896,-9.333333333333334,15.0,10.222222222222221
20354,338,22,3,8,8,8,1,2010,2,1,barrichello,Brazilian,williams,Finished,3357.0,85.08500000000001,0,85.08500000000001,0,0.0,77.37278960664021,8.0,-9.0,-9.0,-9.0,12.552631578947368,-10.666666666666666,12.0,13.851851851851851
20355,338,17,9,2,9,9,1,2010,2,1,webber,Australian,red_bull,Finished,3351.0,84.035,0,84.035,0,0.025974025974025976,78.85605855245323,9.0,-8.5,-8.5,-8.5,6.026315789473684,-7.0,6.0,8.857142857142858
20356,338,30,131,7,10,10,1,2010,2,1,michael_schumacher,German,mercedes,Finished,3356.0,84.871,0,84.871,0,0.017241379310344827,86.75148381030735,10.0,-8.0,-8.0,-8.0,9.157894736842104,-6.5,16.333333333333332,7.892857142857143
20357,338,153,5,17,11,11,1,2010,2,1,alguersuari,Spanish,toro_rosso,Finished,3366.0,86.089,0,86.089,0,0.02631578947368421,67.71591579775723,11.0,-12.0,-12.0,-12.0,13.710526315789474,-13.333333333333334,11.0,11.7
20358,338,37,15,14,12,12,1,2010,2,1,rosa,Spanish,sauber,Finished,3363.0,85.747,0,85.747,0,0.05714285714285714,63.76707404744787,12.0,-12.0,-12.0,-12.0,15.078947368421053,-17.333333333333332,17.5,14.045454545454545
20359,338,5,205,19,13,13,12,2010,2,1,kovalainen,Finnish,lotus_racing,+2 Laps,3368.0,88.797,0,88.797,0,0.016666666666666666,69.3600517129929,13.0,-14.0,-14.0,-14.0,18.13157894736842,-15.0,16.333333333333332,17.0
20360,338,812,164,22,14,14,15,2010,2,1,chandhok,Indian,hrt,+5 Laps,3373.0,90.613,0,90.613,0,0.09090909090909091,56.067461949814884,14.0,-14.0,-14.0,-14.0,18.94736842105263,-19.0,14.0,21.333333333333332
20361,338,10,166,23,R,15,22,2010,2,1,glock,German,virgin,Suspension,3370.0,89.592,0,89.592,0,0.034482758620689655,64.07716122886403,,,,,19.05263157894737,-19.333333333333332,14.666666666666666,15.0
20362,338,810,166,24,R,16,9,2010,2,1,grassi,Brazilian,virgin,Hydraulics,3371.0,90.185,0,90.185,0,0.05263157894736842,52.98880685877591,,,,,19.05263157894737,-18.5,16.0,15.0
20363,338,20,9,1,R,17,36,2010,2,1,vettel,German,red_bull,Wheel,3350.0,83.919,0,83.919,0,0.01556420233463035,86.17194570135746,,-4.0,-4.0,-4.0,6.026315789473684,-9.5,6.545454545454546,8.857142857142858
20364,338,16,10,10,R,18,5,2010,2,1,sutil,German,force_india,Engine,3359.0,85.04599999999999,0,85.04599999999999,0,0.05263157894736842,65.99971719457014,,-12.0,-12.0,-12.0,13.342105263157896,-11.5,11.25,10.222222222222221
20365,338,808,4,18,R,19,20,2010,2,1,petrov,Russian,renault,Spun off,3367.0,86.471,0,86.471,1,0.06896551724137931,66.43782181307536,,,,,10.973684210526315,-13.25,13.666666666666666,11.0
20366,338,811,164,21,R,20,9,2010,2,1,bruno_senna,Brazilian,hrt,Hydraulics,3372.0,90.526,0,90.526,0,0.043478260869565216,62.81723391697817,,,,,18.94736842105263,-19.25,18.0,21.333333333333332
20367,338,67,5,12,R,21,4,2010,2,1,buemi,Swiss,toro_rosso,Collision,3361.0,85.638,0,85.638,0,0.05263157894736842,66.5322912381736,,-16.0,-16.0,-16.0,13.710526315789474,-15.25,14.5,11.7
20368,338,807,3,15,R,22,4,2010,2,1,hulkenberg,German,williams,Collision,3364.0,85.748,0,85.748,0,0.0326530612244898,73.05014313417675,,-14.0,-14.0,-14.0,12.552631578947368,-13.5,11.166666666666666,13.851851851851851
20369,338,155,15,16,R,23,4,2010,2,1,kobayashi,Japanese,sauber,Collision,3365.0,85.777,0,85.777,0,0.05405405405405406,67.45653727077875,,,,,15.078947368421053,-18.75,17.75,14.045454545454545
20370,338,15,205,20,W,24,9,2010,2,1,trulli,Italian,lotus_racing,Hydraulics,3369.0,89.111,0,89.111,0,0.0,71.875,24.0,-20.5,-20.5,-20.5,18.13157894736842,-17.25,18.5,17.0
20371,339,20,9,3,1,1,1,2010,3,2,vettel,German,red_bull,Finished,3376.0,106.828,0,106.828,0,0.01556420233463035,86.17194570135746,1.0,-2.5,-2.5,-2.5,6.026315789473684,-7.8,5.5,4.4375
20372,339,17,9,1,2,2,1,2010,3,2,webber,Australian,red_bull,Finished,3374.0,108.21000000000001,0,108.21000000000001,0,0.025974025974025976,78.85605855245323,2.0,-6.333333333333333,-6.333333333333333,-6.333333333333333,6.026315789473684,-7.4,3.0,4.4375
20373,339,3,131,2,3,3,1,2010,3,2,rosberg,German,mercedes,Finished,3375.0,107.417,0,107.417,0,0.0,83.02508456706057,3.0,-4.333333333333333,-4.333333333333333,-4.333333333333333,9.157894736842104,-5.8,5.714285714285714,6.9375
20374,339,9,4,6,4,4,1,2010,3,2,kubica,Polish,renault,Finished,3379.0,106.283,0,106.283,0,0.0,76.52543534896476,4.0,-5.666666666666667,-5.666666666666667,-5.666666666666667,10.973684210526315,-11.4,4.0,13.0
20375,339,16,10,4,5,5,1,2010,3,2,sutil,German,force_india,Finished,3377.0,107.08500000000001,0,107.08500000000001,0,0.05263157894736842,65.99971719457014,5.0,-8.5,-8.5,-8.5,13.342105263157896,-10.2,13.5,11.6875
20376,339,1,1,20,6,6,1,2010,3,2,hamilton,British,mclaren,Finished,3393.0,113.05,0,113.05,0,0.006269592476489028,91.44540254418168,6.0,-5.0,-5.0,-5.0,6.394736842105263,-4.6,5.375,9.4375
20377,339,13,6,21,7,7,1,2010,3,2,massa,Brazilian,ferrari,Finished,3394.0,113.283,0,113.283,0,0.025806451612903226,81.00549331285168,7.0,-4.0,-4.0,-4.0,6.631578947368421,-3.4,8.375,9.0625
20378,339,18,1,17,8,8,1,2010,3,2,button,British,mclaren,Finished,3390.0,112.211,0,112.211,0,0.0,79.10644466898036,8.0,-5.333333333333333,-5.333333333333333,-5.333333333333333,6.394736842105263,-5.6,10.428571428571429,9.4375
20379,339,153,5,14,9,9,1,2010,3,2,alguersuari,Spanish,toro_rosso,Finished,3387.0,108.655,0,108.655,0,0.02631578947368421,67.71591579775723,9.0,-11.0,-11.0,-11.0,13.710526315789474,-14.0,11.5,12.3125
20380,339,807,3,5,10,10,1,2010,3,2,hulkenberg,German,williams,Finished,3378.0,107.346,0,107.346,0,0.0326530612244898,73.05014313417675,10.0,-12.0,-12.0,-12.0,12.552631578947368,-12.8,10.0,11.5
20381,339,67,5,13,11,11,1,2010,3,2,buemi,Swiss,toro_rosso,Finished,3386.0,108.945,0,108.945,0,0.05263157894736842,66.5322912381736,11.0,-13.5,-13.5,-13.5,13.710526315789474,-13.6,12.0,12.3125
20382,339,22,3,7,12,12,11,2010,3,2,barrichello,Brazilian,williams,+1 Lap,3380.0,108.37100000000001,0,108.37100000000001,0,0.0,77.37278960664021,12.0,-10.0,-10.0,-10.0,12.552631578947368,-13.2,17.0,11.5
20383,339,4,6,19,13,13,5,2010,3,2,alonso,Spanish,ferrari,Engine,3392.0,113.044,0,113.044,0,0.010752688172043012,82.04516247475676,13.0,-6.0,-6.0,-6.0,6.631578947368421,-5.8,10.25,9.0625
20384,339,810,166,24,14,14,13,2010,3,2,grassi,Brazilian,virgin,+3 Laps,3397.0,119.977,0,119.977,0,0.05263157894736842,52.98880685877591,14.0,-14.0,-14.0,-14.0,19.05263157894737,-17.6,14.0,18.0
20385,339,812,164,22,15,15,13,2010,3,2,chandhok,Indian,hrt,+3 Laps,3395.0,116.299,0,116.299,0,0.09090909090909091,56.067461949814884,15.0,-14.5,-14.5,-14.5,18.94736842105263,-18.4,15.0,19.166666666666668
20386,339,811,164,23,16,16,14,2010,3,2,bruno_senna,Brazilian,hrt,+4 Laps,3396.0,117.269,0,117.269,0,0.043478260869565216,62.81723391697817,16.0,-16.0,-16.0,-16.0,18.94736842105263,-17.8,11.0,19.166666666666668
20387,339,15,205,18,17,17,15,2010,3,2,trulli,Italian,lotus_racing,+5 Laps,3391.0,112.884,0,112.884,0,0.0,71.875,17.0,-19.333333333333332,-19.333333333333332,-19.333333333333332,18.13157894736842,-17.2,18.5,17.5
20388,339,5,205,15,N,18,88,2010,3,2,kovalainen,Finnish,lotus_racing,+10 Laps,3388.0,112.27000000000001,0,112.27000000000001,0,0.016666666666666666,69.3600517129929,18.0,-15.333333333333334,-15.333333333333334,-15.333333333333334,18.13157894736842,-17.8,17.0,17.5
20389,339,808,4,11,R,19,6,2010,3,2,petrov,Russian,renault,Gearbox,3384.0,107.952,0,107.952,0,0.06896551724137931,66.43782181307536,,,,,10.973684210526315,-13.0,17.333333333333332,13.0
20390,339,24,10,10,R,20,37,2010,3,2,liuzzi,Italian,force_india,Throttle,3383.0,108.238,0,108.238,0,0.08108108108108109,62.22557399027988,,-8.0,-8.0,-8.0,13.342105263157896,-12.4,19.0,11.6875
20391,339,30,131,8,R,21,36,2010,3,2,michael_schumacher,German,mercedes,Wheel,3381.0,108.4,0,108.4,0,0.017241379310344827,86.75148381030735,,-8.0,-8.0,-8.0,9.157894736842104,-9.0,13.333333333333334,6.9375
20392,339,155,15,9,R,22,5,2010,3,2,kobayashi,Japanese,sauber,Engine,3382.0,107.792,0,107.792,0,0.05405405405405406,67.45653727077875,,,,,15.078947368421053,-19.4,16.25,15.5625
20393,339,10,166,16,R,23,20,2010,3,2,glock,German,virgin,Spun off,3389.0,112.398,0,112.398,1,0.034482758620689655,64.07716122886403,,,,,19.05263157894737,-18.2,18.666666666666668,18.0
20394,339,37,15,12,W,24,5,2010,3,2,rosa,Spanish,sauber,Engine,3385.0,107.15299999999999,0,107.15299999999999,0,0.05714285714285714,63.76707404744787,24.0,-18.0,-18.0,-18.0,15.078947368421053,-20.6,23.0,15.5625
20395,340,18,1,5,1,1,1,2010,4,17,button,British,mclaren,Finished,3402.0,94.979,0,94.979,0,0.0,79.10644466898036,1.0,-3.3333333333333335,-4.25,-4.25,6.394736842105263,-4.4,7.142857142857143,8.458333333333334
20396,340,1,1,6,2,2,1,2010,4,17,hamilton,British,mclaren,Finished,3403.0,94.928,0,94.928,0,0.006269592476489028,91.44540254418168,2.0,-4.666666666666667,-4.25,-4.25,6.394736842105263,-4.6,4.333333333333333,8.458333333333334
20397,340,3,131,4,3,3,1,2010,4,17,rosberg,German,mercedes,Finished,3401.0,94.923,0,94.923,0,0.0,83.02508456706057,3.0,-3.6666666666666665,-4.0,-4.0,9.157894736842104,-8.4,4.714285714285714,5.291666666666667
20398,340,4,6,3,4,4,1,2010,4,17,alonso,Spanish,ferrari,Finished,3400.0,94.913,0,94.913,0,0.010752688172043012,82.04516247475676,4.0,-7.0,-5.5,-5.5,6.631578947368421,-6.2,8.636363636363637,6.333333333333333
20399,340,9,4,8,5,5,1,2010,4,17,kubica,Polish,renault,Finished,3405.0,95.364,0,95.364,0,0.0,76.52543534896476,5.0,-3.6666666666666665,-5.5,-5.5,10.973684210526315,-9.8,11.0,11.583333333333334
